Review,Rating
"Kalau ikut dari fungsi memang ada issue, even dpt replacement still facing the same problem. Dont know how, but enjoy je la.",3
jahitan kurang kemas..,3
jahitan tak kemas,3
"2 stars because I don't like how I was being deceived 3 times in a row by the live agent. Customer service was really unhelpful, till I had to reach out to the manager to partially solve my problem. ",2
This is the fifth chair I bought found quality of the chair was not as good as advertised,2
"I salute seller and delivery service.. But seriously not worth of price when you need to install on your own. The instruction was not really clear and not everyone is capable to be ""handyman"" at least please provide ""premium"" service worth of price buyer paying.",1
"The reason I had giving low rated due to the poor service of the courier service company. I know there will be inconvenience for courier service during this period, but kindly update the shipment details and kindly contact the customer if there is any issue on it. We have the right to know.",1
Feels like low quality product for a rm1k+ price,1
Very poor delivery system. I dont know why shopee accept delivery. Sedangkan saya masih belum menerima kerusi ini. Sangat sangat kecewa.,1
Slow delivery took 1month to receive,1
well poor product quality.Not at all impressed Would not recommend to buy it.,1
"The fabric is rougher than I expected. After sitting few hours, it’s hot and uncomfortable.",1
"First time beli barang pre order. Purchased in 13th July, delivery date 5th August so 3 minggu. Seller ini pakai external courier Lineclear Express which is lembap!!",1
Extremely slow post out. Ended up received after one month. No stock but don't allow cancellation.,1
My worst decision to buy this brand chair. 100% Bad shopping experience. Seller has no integrity at all. ,1
torn on leather. koyak. dirty black spot on red leather. ,2
Janji nak bagi exclusive L size pillow. Tapi tak dapat pun,2
Good quality of product. Bad delivery service. ,2
Easy to pasang...ambik masa lama untuk sampai....more than 12 days....very disappointed ????????,2
barang sampai dengan baik tapi penghantaran sangat la lambat !,2
Abit unlucky on one of the alignment of the screw but still able to screw in half way.,2
The chair is comfort but I have no idea why the wheel keep drop something and whenever I sit I have to mop my floor again and again . Even my cheap cheap chair is way better thn this wheel,3
Fast delivery however gift pack has not been received hmmm,3
"Penghantaran cepat Kerusi cantik But the problem is ada tempat2 yang koyak, calar skit ",3
Delivery very slow. Almost 2 weeks to received. ,3
Fast delivery can get within 48hrs. scratches at the bottom.,3
Kursi ade defect sikit...seat agak keras,3
Item arrived quite late. 2 weeks after placing order. Even though stated pre order but seller did not specify time to ship until message seller. ,3
Super fast delivery as I received it within 24hrs upon purchased. Everything looks good except the arm rest comes in another blue plastic (in photo) and the box looks a lil old made it seems like a refurbished set. ,4
"The seller is very nice,speedy response and good customer service.",4
Fast delivery. Quality is good. The black part is velvet. Nice to sit. ,4
1. Barang terima dengan baik. 2. Pembungkusan baik dan order cepat sampai 3. Kerusi mudah dipasang 4. Sangat selesa duduk,4
Kerusi diterima dalam keadaan baik. Senang jeh nak pasang…,4
"Overall great products, my first gaming chair worth it. ",4
The product is verry nice.. It arrived before the delivery date.. just that the chair tak boleh baring la pulak.,4
Everything nice cuma why that things not long enough?,4
Fast delivery frm seller. Racing TT should have improved QA check before packed and sealed into box. ,4
"Delivery a bit slow, The chair it self is nice and comfortable. However I do wish the assembly guide to be more specific.",4
Tunggu lama nak sampai. Bila dah sampai ada koyak pulak dekat atas,3
"Ada koyak sikit di tepi, so rate 2 star sbb seller tak layan. Yang lain elok.",3
Delivery delay. No free gift as advertised.,2
Good quality. Hope it last longer than my prev chair.,4
"There is some damage scratch on the hand handle, but overall is ok.",4
Design yg cantik.. apabila duduk di sini anda terasa seperti spiderman... ,4
"Semua mantap, cuma bahagian sandar tak boleh ke depan dengan belakang. ",4
"Quality below my expectations, apart the spiderman design, it was just a normal gaming chair",3
So sad to see here got broken from bottom back seat there,2
The chair is super comfortable. Seller missed out on some screws and tool for me to fix my chairs The seller is very responsive so I manage to get my items soon for me to fix my chair. Would have given five stars if no hiccups.,4
"Very fast delivery it only take 4day. Overall it’s great of the seat experience except some of the defect that uneven wrapping back cushion, a very obvious stain on the seat( but after days disappear bit)",3
I would say their customer service is excellent and attentive. But the logistic partner is a problem especially they never reply on my queries of delivery. ,3
"Noisy clanky wheels. The wheels are snapped onto the wheel base, metal to metal. ",3
Barang terbaik...kualiti kena pada harga nya..sayangnya ada barang tak cukup..lift cover takda,3
1 - gaming chair Yang ok 2 - perkhidmatan courier kena berhati - hati ( Ada retak dekat cover bawah .,3
Chair came cracked right at the lever area. Too much of a hassle to return since it’s still working fine,3
The wheels are stuck when spinning,3
My roller after 2 days it became very noisy. Appreciate if the seller can contact me and solve this.,3
dissapointed delivery time,3
"Chair got sound, even I lock multiple times. Chair Handle not accurate, senget a bit. ",2
"Product quality isn’t there,after sales service is there, but no valid solutions.I thought I purchased most expensive chair in malaysia brand expect 100% quality, but doesn’t seems like it.",2
"Barang baru sampai selapas 17 hari PENANTIAN, packaging dalam keadaan baik tapi delivery sangat slow selapas 17 hari baru sampai. Lama juga tunggu barang sampai dah nak start kerja balik baru terima. Tak ada mood nak buka biarlah dia duduk lama dalam kotak tu. ",2
"I have a bad experience with this seller, Item Came with uncompleted part, take long time received whole item. However product quality look nice",2
Delivery was fast but bad. They don't deliver to your doorstep. Ask you to come down without telling you that u need to bring trolley as normally other courier will tell you. had to drag it without trolley to my condo unit and the box become damage by the time reach my place. ,2
"Left side is bend and is very loose, left side outside cover spoiled. Can’t install.",1
"I received the wheels with some problems like will stuck/go to different direction, and talk to customer service but he told me this is the design of the wheels. ",1
"roller really suck, not worth for this price, please improve you quality otherwise don’t sell",1
THE MOST BAD EXPERIENCE IN SHOPEE WITH 26 DAYS WORTH OF WAITING ,1
"Although Seller is responsive, but don’t get fooled by what the product claims. Really uncomfortable, especially at thighs area if sitting for long hours. ",1
Seller gave wrong information said that product that i order is out of stock; thus when i want to cancel order on the same day then no pick up call from the seller. ,1
Do not buy from this seller if you are from sabah. Terrible service.,1
2 day after i bought the price drop to 719 from 799 ,1
send wrong item?then don‘t exchange it.,1
This 2 side come out.. Butt not comfort too narrow. Totally cannot refund.,1
"Product overall satisfied ,but if no need to wait 10day for Pre-Order will be better,waiting time too long ,logistic very slow to deliver.",3
looks ok on outside but emits very strong toxic smell,1
"Setelah struggle beberapa minit, siap juga pasang. Tapi hati berduka tengok tempat duduk ada benang dah terkeluar. ",1
"Dah suruh seller cancel order haritu, tapi seller tetap nak proceed ",1
kualiti baik dan selesai untuk pakai bagus dan good akan beli lagi,3
"the material for the seats is pretty good ,just the bottom base is made of composable black fabric. Bad news is my head cushion's leather got tear.",3
"the wheel place very sharp if land your leg, it hurts",3
"Got a stain in the front thats why for the 4 stars. The delivery is fast. The instruction is not very clear as the picture shows full black chair model, not as the bought model. ",4
"Fast delivery, with minor defect. Overall very nice office chair",4
Fast delivery but bad packaging,4
Okay lor. But a bit regret buy it before super sale. ,4
Product is good Shipment very-very slow and customer service never pickup a call. ,2
Premium quality. Jahitan and detailing betul2 mantap2. Nampak aura premium dekat situ. ,4
Perfect for gaming and office use. But reminder for plus size people this is not suitable even though it says for 130kg and below. The bucket seat style will make it feel small. Better opt for open ended seat base.,4
"Good customer service, delivery as pre arranged time, thanks for advice",4
1 star tak bagi pasal lama hantar untuk produk lawa solid,1
"late delivery , same date that i bought for the gaming chair , takes 1 month too arrived with the gaming chair. i would like to give 3 stars only.",3
Have issue on delivery other than that all good. Next time just inform the buyer for any delay. All can be sorted out by good communication.,2
"Once item damage can’t be refund and shopee team inform that just can warranty only send back to buyer, the chair i din’t use it sitting and start playing my game already have issue when done installed.",1
1.It's not straight to support your upper body. 2.headrest quite loose. 3.Tilt backwards function is disaster the plastic can't hold very well after 2 weeks.,1
"Pakai baru 3 hari, kerusi dah rosak tak boleh naik turun!",1
Please improve your packaging. There are few missing items and the box opened when its arrived. Almost wait 2 weeks need to wait to get the missing parts. ,2
Serious teruk gila. Patut beli kedai lain jeh kalau tahu macam ini. Tahu murah tapi kalau murah pun tak perlu nak buat quality macam ini. ,2
"Seller slow Respon, Penghantaran lambat,",2
Have damage at the bottom. The senders are not professional cause they do not use courier. ,2
Kerusi okay cuma ada defect laa..pmbungkusan tak safety.,2
Everything is good except the hidrolic jet . The chair won't go up and down .,2
The chair cushion is tear,2
I did not receive my parcel..please respond,2
Ada koyak semasa sampai di bahagian sandar.,2
I haven’t received my order,2
"penghantaran lambat dan seller lambat respon, pembungkusan yang tidak kemas",1
"Very bad delivery services irresponsible , lazy ,goods delivered in bad conditions , won’t come to greed customer’s",1
Saya tidak dapat barang dan dah chat dengan seller tapi tak ada tapi tak layan . saya sudah bayar rm160!!!. ,1
"memang teruk barang tak sampai,tidak berfungsi langsung",1
Delivery paling lemau semenjak aku beli barang.,1
I'm really disappointed because delivery is too delay than after delivery I saw the parcel is very bad condition....the parcel is tear and wet ...,1
Mengalami kerosakan..adakah pihak anda menjual barang yang sudah rosak..,1
Lambat sampai,2
"Value for money, but don't expect very good quality. Reasonable quality, worth the value.",3
"Just want to say this seller is bad, im worried if what happen to my parcel but the seller dont take it serious, ",3
Faul product .Damaged product received.No reply from seller.,1
Barang semua ok. Tapi terpaksa bagi rating rendah sebab delivery sangat2 lama. Seller pula tak feedback status dekat kini.,3
"medium quality,Gaming chair ni ok",3
"Kerusi sampai dalam keadaan yang baik , cuma hilang 1 part of kerusi untuk naik & turun kan kerusi itu ",3
"Pembungkusan barang teruk,terkoyak dan terbuka. Shipping barang lambat dari seller,ambil 10 hari untuk sampai Susah nak tracking barang delivery status",3
Good product with reasonable price..cuma salah bagi screw.. nak tunggu pos screw pulak mmg lambat buang masa.,3
Barang okey semua tak ada cacat tapi masalah perghantaran... Lama,3
Very disappointed with the delivery process of the purchased parcel because it was so slow that the money was released in the shopee system but the parcel did not arrive.,3
Barang selamat sampai tapi ambil masa yg lama utk sampai,3
"The chair is comfortable, but the leg base is made using cheap plastic. Only within a week, the chair leg base is almost busted. ",3
"Delivery sangat sangat slow, ",3
Nothing but shipping is too slow,3
Item received in good condition and reasonable time. Quality suits to price.,4
Overall OK kerusi ini. Murah pada sesetengah seller. Tapi kotak ada koyak,4
Penghantaran laju tapi pembungkusan kurang baik kotak koyak,2
"penghantaran, packaging dan kerusi bagus, tapi ada 2 tempat yang koyak.. ",2
Parcel punya packing teruk sgt,2
"No updates on delivery status at all, sent wrong installation manual which made the installation really confusing, screws sent were also incorrect. Very very disappointing experience.",2
Screw holder sided too deep to the front..very bad the screw can't go in.. can't align with screw..,2
scratches on surface. should check first the quality. Also should improve the packaging. ,2
Terima item yg koyak kotak hancur,2
Gambar sahaja cantik.,2
